kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius senator,"Lanius senator Linnaeus, 1758",36.154966,4.38527,2025-03-25,March,2025
Animalia,Arthropoda,Insecta,Odonata,Platycnemididae,Platycnemis,Platycnemis subdilatata,"Platycnemis subdilatata Selys, 1849",35.305812,-0.093992,2025-08-08,August,2025
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene tridentata,Silene tridentata Desf.,36.21341,6.581028,2025-03-10,March,2025
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium onopteris,Asplenium onopteris L.,36.757031,4.419466,2025-02-14,February,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya nyroca,"Aythya nyroca (Güldenstädt, 1770)",36.193209,4.744497,2025-01-21,January,2025
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,"Lepus capensis Linnaeus, 1758",35.305812,-0.093992,2025-09-12,September,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,"Ardea ibis Linnaeus, 1758",35.305812,-0.093992,2025-07-06,July,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum fonscolombii,"Sympetrum fonscolombii (Selys, 1840)",36.747641,2.968365,2025-08-27,August,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",35.305812,-0.093992,2025-09-10,September,2025
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,"Coccinella septempunctata Linnaeus, 1758",35.493559,-1.220921,2025-04-23,April,2025
Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis pes-caprae,Oxalis pes-caprae L.,35.283757,-0.784299,2025-03-02,March,2025
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupaster,"Canis lupaster Hemprich & Ehrenberg, 1833",35.305812,-0.093992,2025-05-24,May,2025
